"","Short","Long"
"724","TRMS","Tokai university Space Information Center"
"725","TRMS","Tromsoe MOS Receiving Station"
"726","True color","True color"
"727","TSDIS","TRMM Science Data and Information System"
"728","TSIC","Tracking, Telemetry & Command Plan"
"729","TSIC","Tokai university Space Information Center"
"730","TT&C","Tracking Telemetry & Command"
"731","TTL","Transistor-Transistor Logic"
"732","TWT","Traveling Wave Tube"
"733","TYKKI","Taihei-You sougou Kansoku Initiative"
"734","UARS","Upper Atmospheric Research Satellite"
"735","UHF","Ultra-High Frequency"
"736","UIT","User Interface Terminal"
"737","UQPSK","Unbalanced quadrature phase shift keying"
"738","USB","Unified S-Band"
"739","USGS","The United State Geological Survey"
"740","UT","Universal Transverse Mercator"
"741","UT","Universal Time"
"742","UTC","Coordinated universal time"
"743","UTM","Universal Transverse Mercator"
"744","V/H","Velocity to Height ratio"
"745","VC","Virtual channel"
"746","VCO","Voltage Control Oscillator"
"747","Vegetation index","Vegetation index"
"748","VHF","Very-High Frequency"
"749","VIRS","Visible Infrared Scanner"
"750","Visible light","Visible light"
"751","VMD","Virtual channel Multiplexer and Distributor"
"752","VNIR","Visible and Near Infrared Radiometer"
"753","VSAR","Variable off-nadir angle Synthetic Aperture Rader"
"754","VSWR","Voltage Standing Wave Ratio"
"755","VTIR","Visible and Thermal Infrared Radiometer"
"756","WAN","Wide Area Network"
"757","WBTR","Wide-band Video Tape Recorder"
"758","WCRP","World Climate Research Programme"
"759","WFF","Wallops Flight Facility"
"760","WGS84","Wold Geodetic System 1984"
"761","WO","Work Order"
"762","WPS","Wallops"
"763","WRS","World Reference System"
"764","WS","Work Station"
"765","WV","Water Vapor"
"766","WWW","World Wide Web"
"767","XS","Multi Spectral Mode"
